鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
西區,房地(土地+建物),臺中市西區向上路一段289巷1~30號,6.11,住,,,1071125,土地1建物1車位0,七層,八層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0821124,38.22,1,1,1,有,有,1850000,48404,,0.0,0,,RPPNMLNLKINFFAB37CA
西區,土地,土庫段1~30地號,289.33,其他,,,1071206,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,36571200,126400,,0.0,0,公共設施保留地之交易。,RPRNMLNLKINFFAB57CA
西區,房地(土地+建物)+車位,臺中市西區自由路一段91~120號,14.8,商,,,1071207,土地1建物1車位1,十二層,二十一層,辦公商業大樓,商業用,見其他登記事項,0790720,198.68,0,0,0,無,有,6880000,34629,坡道機械,0.0,0,,RPXNMLOLKINFFAB28CA
東區,房地(土地+建物),臺中市東區樂業路460巷1~30號,114.0,住,,,1071102,土地3建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0690423,167.98,6,3,3,有,無,10500000,62507,,0.0,0,,RPVOMLOLKINFFAB18CA
東區,房地(土地+建物),臺中市東區福立街31~60號,76.0,住,,,1071123,土地1建物1車位0,全,二層,透天厝,商業用,見其他登記事項,0580507,119.55,4,3,3,有,無,5000000,41824,,0.0,0,員工或其他特殊關係間之交易，包括增建部分及建物室內裝修器具等一併買賣在內。,RPUNMLPLKINFFAB08CA
南區,房地(土地+建物)+車位,臺中市南區復興北路801巷61~90號,27.71,住,,,1071123,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070223,147.33,3,1,2,有,有,10000000,70234,坡道平面,24.17,1350000,,RPRPMLOLKINFFAB87CA
西區,房地(土地+建物),臺中市西區公益路174巷61~90號,83.54,住,,,1071110,土地2建物1車位0,全,五層,透天厝,見其他登記事項,鋼骨鋼筋混凝土造,1030920,281.77,5,3,4,有,無,27000000,95823,,0.0,0,,RPUOMLPLKINFFAB18CA
西區,房地(土地+建物)+車位,臺中市西區忠明南路91~120號,14.56,住,,,1071118,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,159.74,3,2,2,有,有,13800000,95822,坡道平面,29.29,1300000,含增建或未登記建物。共有人2人,RPWPMLPLKINFFAB48CA
南區,房地(土地+建物)+車位,臺中市南區忠明南路811~840號,6.47,商,,,1071205,土地2建物1車位1,十四層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0931224,94.18,2,2,1,有,有,6400000,67955,坡道機械,13.29,0,,RPPOMLQLKINFFAB77CA
