鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區建國四路151~180號,11.97,商,,,1071211,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070830,143.13,3,2,2,有,有,9900000,69168,坡道機械,0.0,0,,RPOOMLLLKINFFAE47CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區建國四路151~180號,17.36,商,,,1071211,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070830,207.91,3,2,2,有,有,17300000,83209,坡道平面,0.0,0,,RPPOMLLLKINFFAE57CA
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區建國四路151~180號,12.22,商,,,1071211,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),見其它登記事項,見其它登記事項,1070830,146.19,3,2,2,有,有,10308000,70511,坡道機械,0.0,0,,RPQOMLLLKINFFAE67CA
鼓山區,土地,柴山段61~90地號,327.5,其他,,,1071202,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1244500,3800,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPWOMLLLKINFFAE28CA
鼓山區,房地(土地+建物)+車位,高雄市鼓山區裕誠路2131~2160號,24.64,住,,,1071128,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940118,152.14,3,2,2,有,有,9900000,65072,坡道平面,26.04,0,,RPQNMLNLKINFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區九如四路1440巷1~30號,74.0,商,,,1071107,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0780425,309.41,6,2,5,有,無,5000000,16160,,0.0,0,親友、員工或其他特殊關係間之交易。;,RPPNMLOLKINFFAE77CA
鼓山區,房地(土地+建物),高雄市鼓山區明倫路121~150號,6.05,商,,,1071129,土地1建物1車位0,四層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0920826,65.97,2,2,1,有,有,4000000,60634,,0.0,0,,RPTNMLQLKINFFAE38CA
前金區,房地(土地+建物),高雄市前金區允文街31~60號,4.28,商,,,1071205,土地1建物1車位0,六層,十五層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0940624,55.370000000000005,1,1,1,有,有,2750000,49666,,0.0,0,含增建或未登記建物。;,RPTOMLQLKINFFAE48CA
鹽埕區,房地(土地+建物),高雄市鹽埕區府北路31~60號,2.58,商,,,1071208,土地1建物1車位0,九層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0690618,29.700000000000003,1,1,1,有,有,550000,18519,,0.0,0,,RPQOMLRLKINFFAE28CA
