鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
板橋區,房地(土地+建物)+車位,新北市板橋區四維路211~240號,21.89,住,,,1071125,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960828,149.43,3,2,2,有,有,20200000,135180,坡道平面,31.37,0,含增建或未登記建物。,RPSNMLMLKINFFAF97CA
板橋區,房地(土地+建物),新北市板橋區和平路190巷1~30號,44.67,住,,,1071031,土地1建物1車位0,三層,三層,公寓(5樓含以下無電梯),住家用,加強磚造,0640418,94.08,3,2,1,有,無,8550000,90880,,0.0,0,含增建或未登記建物。,RPWNMLMLKINFFAF38CA
土城區,房地(土地+建物),新北市土城區順風路31~60號,53.67,住,,,1071108,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,136.23,4,2,2,有,有,12100000,88820,,0.0,0,含增建或未登記建物。,RPOOMLMLKINFFAF67CA
土城區,房地(土地+建物)+車位,新北市土城區中央路一段96巷1~30號,15.63,住,,,1071117,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850613,118.0,2,2,1,有,有,9880000,83729,坡道平面,0.0,0,含增建或未登記建物。本案車位面積無法拆算。,RPTOMLMLKINFFAF18CA
土城區,車位,新北市土城區清水路91~120號,1.72,商,,,1071210,土地0建物0車位1,,,其他,,,,33.43,0,0,0,有,有,1500000,,坡道平面,33.43,1500000,單獨車位交易。;,RPWOMLMLKINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區中山路二段416巷50弄1~30號,27.4,住,,,1070930,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750514,105.89,3,2,2,有,無,10800000,101993,,0.0,0,含增建或未登記建物。,RPXOMLMLKINFFAF58CA
土城區,房地(土地+建物),新北市土城區金城路二段242巷31~60號,10.89,商,,,1071028,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0901228,83.37,2,2,1,有,有,9450000,113350,,0.0,0,含增建或未登記建物。,RPPQMLMLKINFFAF97CA
土城區,房地(土地+建物),新北市土城區延吉街353巷1~30號,29.57,住,,,1071121,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770824,106.96,3,2,2,有,無,9100000,85079,,0.0,0,含增建或未登記建物。,RPUQMLMLKINFFAF48CA
板橋區,車位,新北市板橋區文化路一段188巷31~60號,0.19,住,,,1071125,土地0建物0車位1,,,其他,,,,41.11,0,0,0,有,有,1750000,,坡道平面,41.11,1750000,,RPURMLMLKINFFAF58CA
板橋區,房地(土地+建物)+車位,新北市板橋區文化路一段188巷31~60號,9.63,住,,,1071028,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051004,129.01,2,1,1,有,有,18610000,190102,坡道平面,41.11,1900000,,RPVRMLMLKINFFAF68CA
板橋區,土地,文化段2191~2220地號,0.3,住,,,1071028,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,有,120000,0,,0.0,0,畸零地或有合併使用之交易。,RPWRMLMLKINFFAF78CA
板橋區,房地(土地+建物),新北市板橋區長江路一段48巷1弄1~30號,22.4,住,,,1071206,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,77.63,3,2,1,有,無,6800000,87595,,0.0,0,含增建或未登記建物。;,RPUOMLOLKINFFAF48CA
板橋區,房地(土地+建物)+車位,新北市板橋區莊崑路31~60號,26.65,住,,,1071106,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070817,144.02,3,2,2,有,有,14800000,104878,坡道平面,21.02,1900000,,RPWOMLOLKINFFAF68CA
土城區,土地,明德段151~180地號,32.08,住,,,1071112,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6790000,211658,,0.0,0,,RPPTMLMLKINFFAF28CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷31~60號,20.25,住,,,1071010,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,140.55,2,2,1,有,有,14500000,126223,坡道平面,38.35,1600000,,RPUPMLPLKINFFAF68CA
板橋區,房地(土地+建物)+車位,新北市板橋區新崑路91~120號,25.72,住,,,1071107,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051124,144.1,3,2,2,有,有,12900000,89521,坡道平面,24.71,0,,RPVPMLPLKINFFAF78CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷1~30號,28.15,住,,,1071020,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,188.28,3,2,2,有,有,20400000,124725,坡道平面,38.35,1700000,,RPWPMLPLKINFFAF88CA
土城區,房地(土地+建物),新北市土城區永豐路13巷31~60號,13.28,住,,,1071013,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,78.85,2,1,1,有,有,9490000,120355,,0.0,0,,RPXPMLPLKINFFAF98CA
土城區,房地(土地+建物),新北市土城區永豐路13巷31~60號,33.75,住,,,1071021,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,193.29,4,2,3,有,有,21650000,112008,,0.0,0,,RPPNMLQLKINFFAF08CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷31~60號,38.63,住,,,1071007,土地1建物1車位2,十二層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,269.98,4,2,3,有,有,26300000,117964,坡道平面,76.7,3500000,,RPQNMLQLKINFFAF18CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷31~60號,38.13,住,,,1071007,土地1建物1車位2,十層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,267.2,4,2,3,有,有,25580000,116955,坡道平面,76.7,3300000,,RPRNMLQLKINFFAF28CA
土城區,房地(土地+建物)+車位,新北市土城區永豐路13巷31~60號,40.85,住,,,1071009,土地1建物1車位3,十三層,十五層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1070927,307.41999999999996,4,2,3,有,有,28000000,119041,坡道平面,115.05,5100000,,RPSNMLQLKINFFAF38CA
板橋區,房地(土地+建物),新北市板橋區四維路301~330號,20.66,住,,,1071113,土地1建物1車位0,十一層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1060714,135.72,3,2,2,有,有,19000000,139994,,0.0,0,,RPSNMLPLKINFFAF28CA
板橋區,房地(土地+建物),新北市板橋區雙十路二段2巷1~30號,43.0,住,,,1071122,土地1建物1車位0,三層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,112.4,3,2,2,有,無,13200000,117438,,0.0,0,,RPPPMLSLKINFFAF48CA
板橋區,房地(土地+建物),新北市板橋區府中路121~150號,11.71,商,,,1071115,土地1建物1車位0,四層,十七層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840617,104.07,2,1,1,有,有,13060000,125492,,0.0,0,,RPOQMLLKJHOFFAF57CA
土城區,房地(土地+建物),新北市土城區學府路一段151~180號,46.28,其他,,,1070710,土地1建物1車位0,二層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0890906,615.34,0,0,0,無,有,15000000,24377,,0.0,0,二親等間買賣案件,RPPOMLPKJHOFFAF87CA
板橋區,房地(土地+建物),新北市板橋區縣民大道三段187巷1~30號,31.0,住,,,1071116,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,加強磚造,,83.77,4,0,4,有,無,9600000,114599,,0.0,0,,RPSOMLRKJHOFFAF38CA
林口區,房地(土地+建物)+車位,新北市林口區文化二路一段511~540號,40.39,商,,,1071126,土地1建物1車位2,八層,二十七層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030128,477.31,4,2,3,有,有,55000000,115229,坡道平面,43.14,0,,RPUPMLLLKINFFBF38CA
林口區,房地(土地+建物)+車位,新北市林口區文化三路一段555巷1~30號,10.04,住,,,1071210,土地1建物1車位1,十層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0961227,90.72,1,1,1,有,有,4700000,51808,坡道平面,38.65,0,,RPUQMLLLKINFFBF48CA
林口區,房地(土地+建物)+車位,新北市林口區信義路151~180號,17.96,住,,,1071129,土地1建物1車位1,九層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941130,140.0,3,2,2,有,有,9800000,70000,坡道平面,0.0,0,,RPUNMLMLKINFFBF28CA
