鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price Yuan,the unit price a Yuan square meter,the berth category,berth shifting total area square meter,the berth total price Yuan,the note,serial number
桃園區,房地(土地+建物),桃園市桃園區民生路241~270號,55.0,商,,,1071118,土地2建物1車位0,全,三層,透天厝,住商用,加強磚造,0620511,106.02,3,0,4,有,無,20300000,191473,,0.0,0,,RPXNMLLLKINFFAH58CA
桃園區,房地(土地+建物)+車位,桃園市桃園區建國路31~60號,19.31,住,,,1071119,土地1建物1車位1,六層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920623,150.55,3,2,2,有,有,8500000,56460,坡道平面,0.0,0,,RPPNMLMLKINFFAH87CA
桃園區,房地(土地+建物)+車位,桃園市桃園區經國路721~750號,27.96,住,,,1071118,土地1建物1車位1,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030121,170.32,3,2,2,有,有,12300000,72217,坡道平面,33.84,0,,RPSPMLMLKINFFAH38CA
桃園區,房地(土地+建物),桃園市桃園區愛八街61~90號,21.21,住,,,1071127,土地1建物1車位0,三層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820222,93.48,3,2,2,有,有,4300000,45999,,0.0,0,,RPPQMLOLKINFFAH38CA
桃園區,房地(土地+建物)+車位,桃園市桃園區中正路1381~1410號,14.46,住,,,1071030,土地1建物2車位1,十六層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,149.96,3,2,2,有,有,8880000,59216,坡道平面,0.0,0,,RPUNMLPLKINFFAH68CA
桃園區,房地(土地+建物)+車位,桃園市桃園區江南十街32巷1~30號,16.87,住,,,1071028,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821104,133.78,3,2,2,有,有,6400000,47840,坡道平面,0.0,0,,RPVPMLOLKINFFAH88CA
桃園區,房地(土地+建物)+車位,桃園市桃園區莊二街31~60號,16.84,住,,,1070917,土地1建物2車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820222,131.44,3,2,2,有,有,5800000,44127,坡道平面,0.0,0,,RPWOMLPLKINFFAH98CA
桃園區,房地(土地+建物),桃園市桃園區永康街1~30號,26.6,住,,,1071108,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0691017,123.32,3,2,1,有,有,4900000,39734,,0.0,0,,RPQPMLPLKINFFAH48CA
桃園區,車位,桃園市桃園區中正路451~480號,2.03,其他,,,1071205,土地0建物0車位2,地下層,八層,其他,住家用,鋼筋混凝土造,0760620,62.16,0,0,0,有,無,2400000,,坡道平面,0.0,2400000,,RPOQMLPLKINFFAH38CA
